Wall time,Step,Value
1714367275.8258715,0,1.0
1714367275.8258715,0,1.0
1714367275.8258715,0,1.0
1714367358.3617337,1,1.0
1714367358.3617337,1,1.0
1714367358.3617337,1,1.0
1714367447.4315293,2,0.36972343921661377
1714367447.4315293,2,0.36972343921661377
1714367447.4315293,2,0.36972343921661377
1714367539.9289677,3,0.13669542968273163
1714367539.9289677,3,0.13669542968273163
1714367539.9289677,3,0.13669542968273163
1714367635.7358806,4,0.05053950473666191
1714367635.7358806,4,0.05053950473666191
1714367635.7358806,4,0.05053950473666191
1714367727.336464,5,0.018685638904571533
1714367727.336464,5,0.018685638904571533
1714367727.336464,5,0.018685638904571533
1714367818.6051602,6,0.009999999776482582
1714367818.6051602,6,0.009999999776482582
1714367818.6051602,6,0.009999999776482582
1714367909.2556288,7,0.009999999776482582
1714367909.2556288,7,0.009999999776482582
1714367909.2556288,7,0.009999999776482582
1714367998.5932462,8,0.009999999776482582
1714367998.5932462,8,0.009999999776482582
1714367998.5932462,8,0.009999999776482582
1714368088.62403,9,0.009999999776482582
1714368088.62403,9,0.009999999776482582
1714368088.62403,9,0.009999999776482582
