t_0,t_1,t_2
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,265.57570000000004
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
70.88971599999999,-1.0,-1.0
72.198016,-1.0,-1.0
71.916016,-1.0,-1.0
71.634016,-1.0,-1.0
68.752016,-1.0,-1.0
64.028616,-1.0,-1.0
59.30521599999999,-1.0,-1.0
54.58181599999999,-1.0,-1.0
49.85841599999999,-1.0,-1.0
45.13501599999999,-1.0,-1.0
40.411615999999995,-1.0,-1.0
35.688216,-1.0,-1.0
30.964815999999985,-1.0,-1.0
26.241415999999987,-1.0,-1.0
21.51801599999999,-1.0,-1.0
17.763761999999986,-1.0,-1.0
15.176174666666668,-1.0,-1.0
13.451116444444438,-1.0,-1.0
13.451116444444438,-1.0,-1.0
12.301077629629617,-1.0,-1.0
10.567361086419737,-1.0,-1.0
11.023256724279832,-1.0,-1.0
11.546856724279822,-1.0,-1.0
10.337425149519886,-1.0,-1.0
5.4939014330132565,-1.0,-1.0
4.365915716506624,-1.0,-1.0
6.622391999999998,-1.0,-1.0
11.624983999999994,-1.0,-1.0
17.406183999999996,-1.0,-1.0
20.587383999999993,-1.0,-1.0
21.168583999999996,-1.0,-1.0
18.337695999999994,-1.0,-1.0
10.788101333333337,-1.0,-1.0
7.0719866666666675,-1.0,-1.0
7.907885333333333,-1.0,-1.0
12.364175999999999,-1.0,-1.0
19.966768000000005,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
21.409296000000005,-1.0,-1.0
25.967352000000005,-1.0,-1.0
30.525408000000006,-1.0,-1.0
32.483464000000005,-1.0,-1.0
31.84152000000001,-1.0,-1.0
31.15257600000001,-1.0,-1.0
30.46363200000002,-1.0,-1.0
29.774688000000026,-1.0,-1.0
29.085744000000034,-1.0,-1.0
28.39680000000004,-1.0,-1.0
27.70785600000005,-1.0,-1.0
27.018912000000057,-1.0,-1.0
26.329968000000065,-1.0,-1.0
25.641024000000073,-1.0,-1.0
24.95208000000008,-1.0,-1.0
24.06421000000006,-1.0,-1.0
18.67634000000004,-1.0,-1.0
11.06307000000001,-1.0,-1.0
10.549800000000005,-1.0,-1.0
12.860429999999976,-1.0,-1.0
15.171059999999954,-1.0,-1.0
15.23723999999995,-1.0,-1.0
10.048719999999967,-1.0,-1.0
4.860199999999981,-1.0,-1.0
4.171679999999991,-1.0,-1.0
6.592080000000005,-1.0,-1.0
11.596160000000005,-1.0,-1.0
15.859824000000003,-1.0,-1.0
-1.0,-1.0,-1.0
8.212908000000002,-1.0,-1.0
8.407618000000003,-1.0,-1.0
12.999859999999984,-1.0,-1.0
20.605923999999987,-1.0,-1.0
-1.0,-1.0,-1.0
32.58563599999999,-1.0,-1.0
34.67549199999999,-1.0,-1.0
34.165347999999994,-1.0,-1.0
33.47640399999999,-1.0,-1.0
32.78745999999998,-1.0,-1.0
32.09851599999998,-1.0,-1.0
31.409571999999983,-1.0,-1.0
30.72062799999999,-1.0,-1.0
25.997227999999993,-1.0,-1.0
21.273827999999995,-1.0,-1.0
17.580620999999994,-1.0,-1.0
15.054080666666664,-1.0,-1.0
13.369720444444454,-1.0,-1.0
12.246813629629628,-1.0,-1.0
11.498209086419763,-1.0,-1.0
10.99913939094651,-1.0,-1.0
10.666426260630999,-1.0,-1.0
10.444617507087344,-1.0,-1.0
10.296745004724897,-1.0,-1.0
10.198163336483276,-1.0,-1.0
10.132442224322176,-1.0,-1.0
10.088628149548128,-1.0,-1.0
9.092394766365402,-1.0,-1.0
10.03994584424359,-1.0,-1.0
10.563545844243592,-1.0,-1.0
8.89742256282906,-1.0,-1.0
4.20990728141453,-1.0,-1.0
4.022392000000001,-1.0,-1.0
6.622391999999998,-1.0,-1.0
11.624983999999994,-1.0,-1.0
17.406183999999996,-1.0,-1.0
20.587383999999993,-1.0,-1.0
21.168583999999996,-1.0,-1.0
17.671175999999996,-1.0,-1.0
9.962045333333329,-1.0,-1.0
6.752914666666662,-1.0,-1.0
7.74834933333333,-1.0,-1.0
12.750941333333328,-1.0,-1.0
18.53214133333333,-1.0,-1.0
21.305817333333348,-1.0,-1.0
-1.0,-1.0,-1.0
20.534169333333345,-1.0,-1.0
25.092225333333346,-1.0,-1.0
29.650281333333346,-1.0,-1.0
31.608337333333345,-1.0,-1.0
30.96639333333335,-1.0,-1.0
30.27744933333335,-1.0,-1.0
29.58850533333336,-1.0,-1.0
28.899561333333367,-1.0,-1.0
24.17616133333337,-1.0,-1.0
19.757371000000035,-1.0,-1.0
16.505247333333358,-1.0,-1.0
14.337164888888907,-1.0,-1.0
12.891776592592606,-1.0,-1.0
11.928184395061749,-1.0,-1.0
11.285789596707843,-1.0,-1.0
11.285789596707843,-1.0,-1.0
11.285789596707843,-1.0,-1.0
11.285789596707843,-1.0,-1.0
11.285789596707843,-1.0,-1.0
11.285789596707843,-1.0,-1.0
7.261717596707825,-1.0,-1.0
9.219322798353886,-1.0,-1.0
12.15966139917694,-1.0,-1.0
12.5,-1.0,-1.0
12.5,-1.0,-1.0
12.5,-1.0,-1.0
8.361000000000004,-1.0,-1.0
5.2415799999999955,-1.0,-1.0
6.962369999999998,-1.0,-1.0
11.966449999999995,-1.0,-1.0
16.947829999999996,-1.0,-1.0
14.82921,-1.0,-1.0
9.392874000000003,-1.0,-1.0
8.997601000000003,-1.0,-1.0
12.151992000000007,-1.0,-1.0
18.00739200000001,-1.0,-1.0
-1.0,-1.0,-1.0
21.918192000000012,-1.0,-1.0
19.97359200000001,-1.0,-1.0
16.64939466666668,-1.0,-1.0
14.433263111111117,-1.0,-1.0
