Wall time,Step,Value
1714367197.5033472,237,26.312292098999023
1714367198.0826735,444,15.356061935424805
1714367198.8840992,738,14.366645812988281
1714367199.530558,984,16.440540313720703
1714367199.5742505,1005,16.057859420776367
1714367199.799799,1089,14.6964750289917
1714367199.9990346,1161,13.118695259094238
1714367200.3585777,1302,13.441640853881836
1714367200.3753154,1308,18.493505477905273
1714367200.4527597,1341,14.111940383911133
1714367202.1077492,1965,18.27500343322754
1714367202.7591174,2214,15.550334930419922
1714367203.2093477,2385,19.7302188873291
1714367203.2774673,2412,13.460694313049316
1714367203.7569032,2604,8.317573547363281
1714367203.9003289,2658,16.180912017822266
1714367204.6084998,2925,11.629241943359375
1714367204.7155678,2958,8.887283325195312
1714367205.5662744,3276,11.805407524108887
1714367205.6286435,3300,17.395490646362305
1714367205.9806218,3414,13.068849563598633
1714367207.8701558,4125,11.740777969360352
1714367208.436004,4332,18.054006576538086
1714367208.8474116,4485,15.062638282775879
1714367209.6946912,4788,12.670612335205078
1714367210.5243945,5112,22.259084701538086
1714367211.1097596,5334,15.81822395324707
1714367211.1335802,5346,12.140754699707031
1714367211.2946699,5400,17.099681854248047
1714367211.3410392,5418,18.849891662597656
1714367211.835823,5610,16.940645217895508
1714367211.8918746,5637,16.718002319335938
1714367212.3629885,5814,18.284137725830078
1714367213.62468,6276,12.742715835571289
1714367215.0809994,6834,10.874488830566406
1714367215.5604947,7005,18.341718673706055
1714367215.5946143,7017,8.635767936706543
1714367216.731899,7446,11.949932098388672
1714367217.0757709,7578,7.664388179779053
1714367217.4941392,7737,7.610687732696533
1714367218.759623,8214,11.801159858703613
1714367219.3706508,8454,12.02919864654541
1714367220.4222777,8865,11.982197761535645
1714367221.0568273,9117,12.31054973602295
1714367221.4647958,9297,14.17724609375
1714367222.2646556,9624,13.714444160461426
1714367222.7498531,9813,13.383580207824707
1714367222.9260464,9882,9.08349609375
1714367222.9463246,9888,10.343050003051758
1714367223.2539835,10008,14.278826713562012
1714367223.2691722,10014,16.29566764831543
1714367223.3987246,10062,12.973366737365723
1714367223.4343896,10080,9.748817443847656
1714367223.7714527,10197,13.729623794555664
1714367225.3495731,10809,17.73641586303711
1714367225.922711,11028,22.2177791595459
1714367228.3015022,11937,11.035698890686035
1714367229.0495944,12222,8.510551452636719
1714367230.3412848,12714,13.740944862365723
1714367231.088295,12990,13.322040557861328
1714367231.234219,13053,8.00255298614502
1714367231.234219,13056,9.08691120147705
1714367231.8477387,13290,13.272144317626953
1714367233.6664703,13989,10.248895645141602
1714367235.055837,14541,14.293560981750488
1714367235.0875874,14550,6.1637959480285645
1714367235.5963295,14748,12.788278579711914
1714367236.3140805,15033,12.41357135772705
1714367237.0593634,15324,6.724928855895996
1714367237.1382756,15354,10.838871002197266
1714367238.2815354,15780,9.257943153381348
1714367238.5982342,15894,13.005049705505371
1714367239.412813,16212,16.79419708251953
1714367240.2090118,16461,6.264588356018066
1714367241.29623,16854,9.348827362060547
1714367241.6428833,16998,9.6749849319458
1714367242.465807,17337,8.917983055114746
1714367243.3563886,17670,8.332595825195312
1714367244.306544,18036,11.546937942504883
1714367244.4979713,18105,14.306879997253418
1714367246.1846883,18726,8.260663032531738
1714367246.2209737,18741,13.220580101013184
1714367246.298597,18774,7.121955394744873
1714367247.494499,19221,10.476797103881836
1714367247.653413,19278,9.31668472290039
1714367248.7184308,19644,7.256973743438721
1714367249.5391376,19953,6.622077941894531
1714367250.9286804,20493,7.846177101135254
1714367251.2328086,20604,10.236682891845703
1714367253.4739914,21450,8.686362266540527
1714367253.6041794,21504,8.34518051147461
1714367254.2486126,21750,6.663949489593506
1714367255.6190827,22266,8.595040321350098
1714367256.9563105,22785,8.964470863342285
1714367257.3565907,22962,8.970908164978027
