t_0,t_1,t_2
-1.0,-1.0,32.03319499999989
-1.0,-1.0,-1.0
-1.0,-1.0,20.741086999999865
-1.0,-1.0,19.01999266666659
-1.0,-1.0,22.164330166666623
-1.0,-1.0,20.808667666666658
-1.0,-1.0,12.910125666666659
-1.0,-1.0,7.939996833333328
-1.0,-1.0,8.054932416666665
-1.0,-1.0,12.967974416666667
-1.0,-1.0,20.481016416666666
-1.0,-1.0,26.892611416666664
-1.0,-1.0,28.138640916666667
-1.0,-1.0,22.284670416666668
-1.0,-1.0,13.602073777777775
-1.0,-1.0,8.302816518518519
-1.0,-1.0,8.236342259259258
-1.0,-1.0,13.149384259259259
-1.0,-1.0,20.66242625925926
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,20.763456259259257
-1.0,-1.0,24.763467259259258
-1.0,-1.0,28.76347825925926
-1.0,-1.0,30.163489259259258
-1.0,-1.0,29.162020259259258
-1.0,-1.0,28.160551259259265
-1.0,-1.0,27.15908225925927
-1.0,-1.0,26.15761325925928
-1.0,-1.0,25.15614425925928
-1.0,-1.0,24.154675259259278
-1.0,-1.0,23.153206259259264
-1.0,-1.0,22.15173725925925
-1.0,-1.0,21.150268259259235
-1.0,-1.0,20.14879925925922
-1.0,-1.0,19.147330259259206
-1.0,-1.0,18.145861259259192
-1.0,-1.0,17.144392259259178
-1.0,-1.0,12.824546925925858
-1.0,-1.0,7.288234839506146
-1.0,-1.0,8.851922753086427
-1.0,-1.0,11.97596137654324
-1.0,-1.0,12.500000000000028
-1.0,-1.0,11.66700000000002
-1.0,-1.0,11.111666666666679
-1.0,-1.0,6.602444444444428
-1.0,-1.0,4.077507222222227
-1.0,-1.0,6.307285000000002
-1.0,-1.0,11.222490000000002
-1.0,-1.0,16.8269825
-1.0,-1.0,15.331474999999998
-1.0,-1.0,9.809148
-1.0,-1.0,8.923827
-1.0,-1.0,11.306259000000003
-1.0,-1.0,18.824348
-1.0,-1.0,-1.0
-1.0,-1.0,29.188993999999994
-1.0,-1.0,30.471316999999992
-1.0,-1.0,29.469847999999995
-1.0,-1.0,28.468378999999995
-1.0,-1.0,27.46690999999999
-1.0,-1.0,26.46544099999999
-1.0,-1.0,25.463972
-1.0,-1.0,24.462503000000005
-1.0,-1.0,23.461034000000012
-1.0,-1.0,22.459565000000012
-1.0,-1.0,21.458096000000012
-1.0,-1.0,20.456626999999997
-1.0,-1.0,19.455157999999983
-1.0,-1.0,18.45368899999997
-1.0,-1.0,17.452219999999954
-1.0,-1.0,16.45075099999994
-1.0,-1.0,15.479806749999938
-1.0,-1.0,14.751598562499936
-1.0,-1.0,14.060857421874942
-1.0,-1.0,9.17037228124994
-1.0,-1.0,8.77988714062495
-1.0,-1.0,11.184644570312463
-1.0,-1.0,14.328982070312492
-1.0,-1.0,10.373319570312525
-1.0,-1.0,5.091209213541674
-1.0,-1.0,4.03053860677084
-1.0,-1.0,6.335433999999998
-1.0,-1.0,11.248476
-1.0,-1.0,16.161517999999997
-1.0,-1.0,19.973112999999998
-1.0,-1.0,18.619142499999995
-1.0,-1.0,11.402235499999996
-1.0,-1.0,6.452340999999997
-1.0,-1.0,4.711104499999998
-1.0,-1.0,6.4404862499999975
-1.0,-1.0,11.353528249999998
-1.0,-1.0,16.26657025
-1.0,-1.0,-1.0
-1.0,-1.0,12.881654833333332
-1.0,-1.0,14.687376
-1.0,-1.0,18.687387
-1.0,-1.0,20.087398
-1.0,-1.0,19.085929
-1.0,-1.0,18.08446
-1.0,-1.0,17.082991000000007
-1.0,-1.0,16.081522000000007
-1.0,-1.0,15.202885000000009
-1.0,-1.0,14.543907250000018
-1.0,-1.0,14.049673937500017
-1.0,-1.0,13.711111625000001
-1.0,-1.0,13.485403416666657
-1.0,-1.0,13.33493127777777
-1.0,-1.0,13.234616518518493
-1.0,-1.0,13.16774001234566
-1.0,-1.0,13.123155674897106
-1.0,-1.0,13.093432783264717
-1.0,-1.0,9.755241188843172
-1.0,-1.0,5.242031014784345
-1.0,-1.0,7.828820840725513
-1.0,-1.0,11.879021087029429
-1.0,-1.0,15.929221333333352
-1.0,-1.0,17.07109591297061
-1.0,-1.0,11.28171443472796
-1.0,-1.0,5.492332956485306
-1.0,-1.0,4.202951478242652
-1.0,-1.0,6.307285
-1.0,-1.0,11.22249
-1.0,-1.0,15.73344433333331
-1.0,-1.0,13.14439866666662
-1.0,-1.0,7.991452333333314
-1.0,-1.0,8.01497916666666
-1.0,-1.0,11.306259000000003
-1.0,-1.0,18.824348
-1.0,-1.0,-1.0
-1.0,-1.0,29.188993999999994
-1.0,-1.0,30.471316999999992
-1.0,-1.0,29.469847999999995
-1.0,-1.0,28.468378999999995
-1.0,-1.0,27.46690999999999
-1.0,-1.0,26.46544099999999
-1.0,-1.0,25.463972
-1.0,-1.0,24.462503000000005
-1.0,-1.0,23.461034000000012
-1.0,-1.0,22.459565000000012
-1.0,-1.0,21.458096000000012
-1.0,-1.0,20.456626999999997
-1.0,-1.0,19.455157999999983
-1.0,-1.0,18.45368899999997
-1.0,-1.0,17.452219999999954
-1.0,-1.0,16.45075099999994
-1.0,-1.0,15.479806749999938
-1.0,-1.0,14.751598562499936
-1.0,-1.0,14.060857421874942
-1.0,-1.0,9.17037228124994
-1.0,-1.0,8.77988714062495
265.4951284296875,-1.0,11.184644570312463
-1.0,-1.0,14.328982070312492
-1.0,-1.0,10.373319570312525
-1.0,-1.0,5.091209213541674
-1.0,-1.0,4.03053860677084
-1.0,-1.0,6.335433999999998
-1.0,-1.0,11.248476
-1.0,-1.0,16.161517999999997
-1.0,-1.0,19.973112999999998
-1.0,-1.0,18.619142499999995
-1.0,-1.0,11.402235499999996
-1.0,-1.0,6.452340999999997
-1.0,-1.0,4.711104499999998
-1.0,-1.0,6.4404862499999975
-1.0,-1.0,11.353528249999998
-1.0,-1.0,16.26657025
-1.0,-1.0,-1.0
-1.0,-1.0,12.881654833333332
-1.0,-1.0,14.687376
-1.0,-1.0,18.687387
-1.0,-1.0,20.087398
-1.0,-1.0,19.085929
-1.0,-1.0,18.08446
-1.0,-1.0,17.082991000000007
-1.0,-1.0,16.081522000000007
-1.0,-1.0,15.202885000000009
-1.0,-1.0,14.543907250000018
-1.0,-1.0,14.049673937500017
-1.0,-1.0,13.711111625000001
-1.0,-1.0,13.485403416666657
-1.0,-1.0,13.33493127777777
-1.0,-1.0,13.234616518518493
-1.0,-1.0,13.16774001234566
-1.0,-1.0,13.123155674897106
-1.0,-1.0,13.093432783264717
223.04933747782349,-1.0,9.755241188843172
223.30075831854901,-1.0,5.242031014784345
219.05217915927452,-1.0,7.828820840725513
213.34018957963727,-1.0,11.879021087029429
-1.0,-1.0,15.929221333333352
-1.0,-1.0,17.07109591297061
-1.0,-1.0,11.28171443472796
-1.0,-1.0,5.492332956485306
-1.0,-1.0,4.202951478242652
-1.0,-1.0,6.307285
-1.0,-1.0,11.22249
-1.0,-1.0,15.73344433333331
-1.0,-1.0,13.14439866666662
-1.0,-1.0,7.991452333333314
-1.0,-1.0,8.01497916666666
-1.0,-1.0,11.306259000000003
-1.0,-1.0,18.824348
-1.0,-1.0,-1.0
-1.0,-1.0,29.188993999999994
-1.0,-1.0,30.471316999999992
-1.0,-1.0,29.469847999999995
-1.0,-1.0,28.468378999999995
-1.0,-1.0,27.46690999999999
-1.0,-1.0,26.46544099999999
-1.0,-1.0,25.463972
-1.0,-1.0,24.462503000000005
-1.0,-1.0,23.461034000000012
-1.0,-1.0,22.459565000000012
-1.0,-1.0,21.458096000000012
-1.0,-1.0,20.456626999999997
-1.0,-1.0,19.455157999999983
-1.0,-1.0,18.45368899999997
179.47498400000003,-1.0,17.452219999999954
184.81774000000004,-1.0,16.45075099999994
188.53967125000003,-1.0,15.479806749999938
192.01886643750004,-1.0,14.751598562499936
192.716009578125,-1.0,14.060857421874942
191.27149671875,-1.0,9.17037228124994
185.326983859375,-1.0,8.77988714062495
-1.0,-1.0,11.184644570312463
-1.0,-1.0,14.328982070312492
-1.0,-1.0,10.373319570312525
-1.0,-1.0,5.091209213541674
-1.0,-1.0,4.03053860677084
-1.0,-1.0,6.335433999999998
-1.0,-1.0,11.248476
-1.0,-1.0,16.161517999999997
-1.0,-1.0,19.973112999999998
-1.0,-1.0,20.4405345
-1.0,-1.0,13.807955999999997
-1.0,-1.0,7.950930833333331
-1.0,-1.0,5.460399416666668
-1.0,-1.0,6.815133708333333
-1.0,-1.0,11.728175708333334
-1.0,-1.0,19.241217708333334
-1.0,-1.0,-1.0
-1.0,-1.0,20.175237708333334
-1.0,-1.0,19.342247708333332
-1.0,-1.0,23.342258708333333
-1.0,-1.0,24.742269708333332
-1.0,-1.0,23.74080070833333
-1.0,-1.0,22.73933170833333
-1.0,-1.0,21.73786270833334
-1.0,-1.0,20.73639370833334
-1.0,-1.0,19.734924708333338
-1.0,-1.0,18.733455708333338
-1.0,-1.0,17.731986708333338
128.1615282916667,-1.0,16.730517708333323
132.7195842916667,-1.0,15.729048708333323
137.06668996875,-1.0,14.938530031249996
138.6161659765625,-1.0,14.34564102343748
137.409970984375,-1.0,13.908423015624976
136.01103665625,-1.0,13.616944343749964
134.51494277083333,-1.0,13.422625229166641
132.9540758472222,-1.0,9.974702819444445
128.0316505648148,-1.0,5.388338768518537
118.60922528240741,-1.0,7.901974717592623
110.28681264120371,-1.0,11.915598025462998
-1.0,-1.0,15.92922133333338
-1.0,-1.0,17.034518974537082
-1.0,-1.0,11.254281730902811
-1.0,-1.0,5.474044487268543
-1.0,-1.0,4.193807243634274
75.2007613333334,-1.0,6.307285
64.6049913333334,-1.0,11.22249
-1.0,-1.0,15.73344433333331
-1.0,-1.0,13.14439866666662
-1.0,-1.0,7.991452333333314
-1.0,-1.0,8.01497916666666
47.79729999999998,-1.0,11.306259000000003
38.65431399999999,-1.0,18.824348
-1.0,-1.0,-1.0
-1.0,-1.0,29.188993999999994
-1.0,-1.0,30.471316999999992
-1.0,-1.0,29.469847999999995
-1.0,-1.0,28.468378999999995
-1.0,-1.0,27.46690999999999
-1.0,-1.0,26.46544099999999
-1.0,-1.0,25.463972
87.87559200000001,-1.0,24.462503000000005
89.96544800000001,-1.0,23.461034000000012
89.45530400000001,-1.0,22.459565000000012
88.76636000000002,-1.0,21.458096000000012
88.07741600000003,-1.0,20.456626999999997
87.38847200000004,-1.0,19.455157999999983
86.69952800000003,-1.0,18.45368899999997
86.01058400000004,-1.0,17.452219999999954
85.32164000000004,-1.0,16.45075099999994
84.60217125000004,-1.0,15.479806749999938
83.63996643750004,-1.0,14.751598562499936
82.49570957812502,-1.0,14.060857421874942
81.05119671874999,-1.0,9.17037228124994
75.10668385937498,-1.0,8.77988714062495
-1.0,-1.0,11.184644570312463
-1.0,-1.0,14.328982070312492
-1.0,-1.0,10.373319570312525
54.479224786458325,-1.0,5.091209213541674
44.55092939322916,-1.0,4.03053860677084
34.60406799999999,-1.0,6.335433999999998
-1.0,-1.0,11.248476
23.694051999999978,-1.0,16.161517999999997
20.373743999999995,-1.0,19.973112999999998
24.153436000000003,-1.0,18.619142499999995
33.118964500000004,-1.0,11.402235499999996
34.984493,-1.0,6.452340999999997
31.041363500000003,-1.0,4.711104499999998
23.627615750000004,-1.0,6.4404862499999975
15.238451750000003,-1.0,11.353528249999998
12.280693166666673,-1.0,16.26657025
12.783285166666671,-1.0,-1.0
19.504812583333337,-1.0,12.881654833333332
24.468693416666667,-1.0,14.687376
-1.0,-1.0,18.687387
28.897045416666664,-1.0,20.087398
30.912701416666664,-1.0,19.085929
35.470757416666665,-1.0,18.08446
37.428813416666664,-1.0,17.082991000000007
36.786869416666676,-1.0,16.081522000000007
35.975093416666674,-1.0,15.202885000000009
34.943658166666665,-1.0,14.543907250000018
33.74747847916667,-1.0,14.049673937500017
32.39562779166668,-1.0,13.711111625000001
30.93092300000002,-1.0,13.485403416666657
29.3909821388889,-1.0,13.33493127777777
27.800883898148157,-1.0,13.234616518518493
26.177347404320983,-1.0,13.16774001234566
24.53151874176953,-1.0,13.123155674897106
22.870828633401914,-1.0,13.093432783264717
21.200230894490147,-1.0,9.755241188843172
16.204651735215663,-1.0,5.242031014784345
9.546041437052281,-1.0,7.828820840725513
8.524020718526145,-1.0,11.879021087029429
10.042780948082196,-1.0,15.929221333333352
-1.0,-1.0,17.07109591297061
-1.0,-1.0,11.28171443472796
-1.0,-1.0,5.492332956485306
-1.0,-1.0,4.202951478242652
-1.0,-1.0,6.307285
-1.0,-1.0,11.22249
-1.0,-1.0,15.73344433333331
-1.0,-1.0,13.14439866666662
-1.0,-1.0,7.991452333333314
-1.0,-1.0,8.01497916666666
-1.0,-1.0,11.306259000000003
-1.0,-1.0,18.824348
-1.0,-1.0,-1.0
21.96272847959345,-1.0,29.188993999999994
26.306673000000004,-1.0,30.471316999999992
0.0,-1.0,29.469847999999995
12.209910479593452,-1.0,28.468378999999995
23.647024000000005,-1.0,27.46690999999999
32.481480000000005,-1.0,23.432453999999993
38.715936,-1.0,21.997997999999995
42.468392,-1.0,20.996529000000002
43.620848,-1.0,19.99506000000001
42.931904,-1.0,18.99359100000001
42.24296000000001,-1.0,17.99212200000001
